id;nombre;descripcion;url_imagen;establecimiento_id
1;Terrenos Pequeño;Integrado fritas generate;Negro Intranet;92679
2;aprovechar Normas payment;bypassing;Buckinghamshire;90227
3;grupo Marroquinería models;transmitting;calculate Navarra;95575
4;Funcionario;digital;Intuitivo compressing;74279
5;deliver Account sistémica;Distrito;plug-and-play Dalasi;55439
6;architectures Mongolia Investment;vortals copying de;cara Berkshire;76674
7;Buckinghamshire XSS Gris;Granito holística;Cantabria complejidad;16228
8;Datos value-added Planificador;Silla GB;generate Orgánico Quinta;46191
9;añadido mesh Account;Mongolia Baleares;Asturias;44160
10;JBOD;Kroon Teclado;estandardización;11249
