id;monto;fecha_pago;metodo_pago;estado;cita_id;carrito_id;user_id
1;36922;2024-11-24T22:33:46;EFECTIVO;PNG redundant;56215;68074;15219
2;59743;2024-11-25T09:11:42;OTRO;política;27580;58523;65193
3;56534;2024-11-25T09:48:25;EFECTIVO;generate;85693;99556;9157
4;81055;2024-11-25T07:31:12;TRANSFERENCIA;Caserio Bacon Operaciones;57464;11337;97735
5;49398;2024-11-25T12:21:04;OTRO;virtual Decoración Congolese;24409;55653;11838
6;56336;2024-11-25T11:30:02;EFECTIVO;Andalucía Futuro Queso;66023;90153;32892
7;34281;2024-11-24T21:51:12;EFECTIVO;Hormigon COM;52587;88897;81494
8;14603;2024-11-24T23:50:14;TARJETA;Planificador fases;62213;91507;72448
9;72938;2024-11-25T08:46:48;OTRO;benchmark;77099;32860;13002
10;32045;2024-11-25T03:38:04;OTRO;Orgánico AI Orígenes;97573;83910;75638
