id;nombre;descripcion;precio;cantidad;url_img;categoria_producto_id;establecimiento_id
1;actitud;Dinánmico;81998;32882;Monte;89169;20978
2;Inteligente Borders GB;Ladrillo;26631;86414;Caserio;19082;34838
3;sensor Dinánmico;Gorro Canada;88711;94847;virtual Juguetería back-end;16908;53648
4;Camerún portals;calculating Ladrillo North;27860;66618;Gris Innovador;28242;73188
5;invoice Plástico innovative;port Inversor metódica;36079;54847;Negro Edificio Queso;7688;80242
6;Manat Global Estratega;Distrito cross-platform copying;73001;18378;Berkshire Franc;95011;59236
7;Respuesta program e-markets;Fantástico leverage;6476;15519;disintermediate utilize;87841;17387
8;red withdrawal;matrix;720;43905;y solución European;98017;22743
9;indexing;data-warehouse circuito technologies;42426;91473;Producto;4805;88285
10;invoice Informática;Andalucía Colonia;58944;27673;1080p withdrawal deposit;60154;77207
